Ward,Complaint
Dharmarayaswamy Temple Ward,Acquired public road.
A.Narayanapura,Garbage
Uttarahalli,Garbage collection
Hosakerehalli,Construction of compound extended to road
Hoysala Nagar,Water logging and Sewage Overflow
Hoysala Nagar,Road need to repair
Sunkenahalli,Blocked Sewage pipeline and overflowing manhole
Varthur,"Terrible condition of Roads at Idgha Road, Varthur"
Varthur,Unable to pay property tax online
Puttenahalli,Stray dog
Bellandur,Poor road conditions
Shankaramata,Garbage collection problem
A.Narayanapura,Encroachment of road by neighbor
Mathikere,No move towards issue of independent khatha and joint khatha....continuation of my earlier complaints
Dattathreya Temple,non cleaning of vacant sites
Hagadooru,Drainage overflow into home due to Waste disposal and illegal construction
Bellandur,Encumbrance Certificate issue reported in 2009 not corrected still
Lingarajapura,Clean the garbage from the gutter
HBR Layout,Drainage system at Bengaluru
Jalahalli,"No 912, 1st Main Road, Bhubhalinagar, Jalahalli Village, Bangalore 560013"
K.R.Puram,Garbage Clearance
Uttarahalli,No proper roads and loads of garbage
Hagadooru,Garbage cleaning
Banashankari Temple Ward,Removal of garbage point located at 34th cross 9th main road BSK 2nd stage Bangaluru 560070
Moodalapalya,Road blocking resulting in accidents
Shanthi Nagar,Water logging in Richmond road near to HDFC Bank
Horamavu,Culvert construction on Horamavu Agara Road near Horamavu Agara Road
Chikpete,Sewage chamber Blockage
Kottigepalya,Need to pay property tax
Sarakki,Garbage clearance
