area_type,availability,location,size,society,total_sqft,bath,balcony,price,Pincode
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2,1,39.07,560100
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5,3,120,561203
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,2,3,62,560061
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3,1,95,560091
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,2,1,51,560077
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2,1,38,560066
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4,,204,ERROR
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4,,600,560010
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,3,1,63.25,560037
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,1020,6,,370,560004
Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2,2,70,560066
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5,3,295,560066
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2,1,38,560078
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2,2,40,560083
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3,2,148,560037
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2,2,73.5,560076
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3,2,48,ERROR
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3,3,60,560098
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4,2,290,560094
area_type,availability,location,size,society,total_sqft,bath,balcony,price,Pincode
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2,1,39.07,560100
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5,3,120,561203
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,2,3,62,560061
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3,1,95,560091
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,2,1,51,560077
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2,1,38,560066
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4,,204,ERROR
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4,,600,560010
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,3,1,63.25,560037
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,1020,6,,370,560004
Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2,2,70,560066
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5,3,295,560066
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2,1,38,560078
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2,2,40,560083
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3,2,148,560037
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2,2,73.5,560076
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3,2,48,ERROR
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3,3,60,560098
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4,2,290,560094
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100,2,2,48,ERROR
Built-up  Area,Ready To Move,Kengeri,1 BHK,,600,1,1,15,560060
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3,1,122,560046
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5,2,380,560077
Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1767,3,1,103,560037
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1,0,25.25,560077
Super built-up  Area,18-May,Mangammanapalya,3 BHK,,1250,3,2,56,560068
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1,1,23.1,560100
Built-up  Area,20-Dec,Whitefield,3 BHK,,1610,3,2,81,560066
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2,2,48.77,560066
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2,1,47,560100
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,4,0,186,560064
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,35,ERROR
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2,2,123,560024
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3,3,57.39,560098
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3,,125,560043
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2,1,36,560062
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1070,2,1,45.5,560100
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3,2,125,560037
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1290,2,2,56.12,560061
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1143,2,2,45,560061
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2,,81,560017
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3,2,38,562125
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1,0,38,ERROR
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,660,1,0,48,560064
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2,2,91.79,560062
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,,600,9,,200,560102
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2,0,33,560100
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2,1,94.82,560066
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,800,1,1,130,573201
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,869,2,1,36,ERROR
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2,1,50,305001
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3,1,99,ERROR
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3,2,91,560066
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2,2,75,ERROR
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2,3,75,560064
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,44,560068
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,,,192,562110
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2,2,185,560094
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,,1407,4,1,150,560017
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,,840,2,2,45,ERROR
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,,4395,3,2,240,ERROR
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2,1,55,ERROR
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5,3,650,560066
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2,2,44,560087
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,,3000,8,0,140,560068
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1100,2,1,62,560100
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2,3,43,560087
