locality,area,cost
Devanahalli,781 - 5486,₹27.34 L - 1.92 Cr
Hosa Road,1016 - 1226,₹39.62 L - 47.81 L
Thippasandra,1161.25 - 2277.42,₹24.39 L - 47.83 L
Koramangala,1982,₹2.83 Cr
Bellandur,1800 - 1830,₹1.11 Cr Onwards
Hennur Road,2957 - 3450,₹2.53 Cr Onwards
Hosa Road,1200 - 4000,₹44 L - 1.47 Cr
Malleshwaram,2215,₹2.98 Cr
Rachenahalli,4975,₹3.5 Cr
Kanakpura Road,1145 - 1270,₹62.98 L - 69.85 L
Thavarekere,1200 - 2400,₹29.08 L Onwards
8th Phase JP Nagar,1042 - 1105,₹53.92 L - 57.18 L
Thippasandra,1320,₹59.99 L
Chandapura,1982,₹67.39 L
Hoodi,2090 - 2118,₹99.28 L - 1.01 Cr
Old Madras Road,1404 - 1533,₹86.15 L Onwards
Koramangala,2461,₹3.06 Cr
Chikkagubbi,3564,₹3 Cr
IVC Road,3000 - 6000,₹97.5 L Onwards
Hosa Road,1200 - 4000,₹44 L - 1.47 Cr
Hennur Road,1180,₹76.5 L
8th Phase JP Nagar,1408 - 1455,₹72.86 L - 75.3 L
Jigani,2219,₹90 L
IVC Road,3000 - 5634,₹97.02 L Onwards
Whitefield,1195 - 1216,₹71.59 L Onwards
Hosur Road,2800 - 2870,₹2.6 Cr Onwards
Devanahalli,1852,₹2 Cr
Electronic City,1225 - 2750,₹56.33 L - 1.26 Cr
Thanisandra,2021,₹2.03 Cr
Sarjapur Road,3425 - 3435,₹2.05 Cr - 2.05 Cr
Old Madras Road,598,₹37.46 L
Vijayanagar,1520 - 1933,₹1.12 Cr Onwards
Hosur Road,1320 - 1410,₹55.44 L - 59.22 L
Sarjapur Road,2876,₹1.45 Cr
Hulimavu,2805 - 3963,₹1.64 Cr - 2.32 Cr
Bommenahalli,2610,₹1.36 Cr
Old Madras Road,1582 - 1873,₹1.03 Cr Onwards
Hennur Road,1450 - 1561,₹92.7 L Onwards
Hebbal,800 - 2000,₹51.2 L - 1.28 Cr
Kasavanhalli,1450 - 1717,₹55.1 L - 65.25 L
Immadihalli,750 - 1173,₹52.7 L Onwards
Gattigere,2200,₹1.43 Cr
Hennur Road,2264 - 2365,₹1.57 Cr Onwards
Nallurhalli,1390 - 1500,₹58.38 L - 63 L
8th Phase JP Nagar,1732 - 1895,₹88.99 L - 97.37 L
Hosur Road,1590 - 1890,₹1.29 Cr Onwards
Old Madras Road,1157 - 1182,₹72.09 L Onwards
Whitefield,1655 - 2321,₹95.34 L Onwards
Whitefield,1520 - 1759,₹89.03 L - 1.03 Cr
Devanahalli,1553,₹1.8 Cr
Old Madras Road,1330,₹87.61 L
Whitefield,1245 - 1290,₹52.29 L - 54.18 L
Thanisandra,2109 - 2293,₹78.03 L - 84.84 L
Hennur Road,1866 - 2235,₹61.58 L - 73.76 L
Yeshwanthpur,1385 - 2555,₹76.18 L - 1.41 Cr
Byatarayanapura,856,Price on Request
Kengeri Satellite Town,1656 - 1670,₹59.62 L - 60.12 L
Sector 4 HSR Layout,2399 - 3310,₹2.15 Cr - 2.96 Cr
Vijayanagar,1046,₹65.22 L
Sarjapur Road,1320 - 2461,₹56.75 L - 1.06 Cr
Sarjapur Road,1592 - 1644,₹76.26 L - 78.75 L
