locality,area,cost,costPerSquareFeet,bedrooms
Sarjapur,3664,₹2.1 Cr,5731/Sq.Ft.,4 Bedroom
Sarjapur Road,1939 - 2292,₹98 L - 1.16 Cr,5054/Sq.Ft.,3 Bedroom
Hennur Road,2957 - 3450,₹2.53 Cr Onwards,8555/Sq.Ft.,4 Bedroom
Thippasandra,1320,₹59.99 L,4545/Sq.Ft.,3 Bedroom
Chandapura,1982,₹67.39 L,3400/Sq.Ft.,3 Bedroom
Chikkagubbi,3564,₹3 Cr,8430/Sq.Ft.,4 Bedroom
Jigani,2219,₹90 L,4056/Sq.Ft.,3 Bedroom
Sarjapur Road,2876,₹1.45 Cr,5054/Sq.Ft.,4 Bedroom
Hulimavu,2805 - 3963,₹1.64 Cr - 2.32 Cr,5850/Sq.Ft.,4 Bedroom
Bommenahalli,2610,₹1.36 Cr,5199/Sq.Ft.,4 Bedroom
Bommenahalli,3694,₹2.79 Cr,7552/Sq.Ft.,4 Bedroom
Sarjapur,2580 - 2591,₹1.39 Cr - 1.4 Cr,5388/Sq.Ft.,4 Bedroom
Sarjapur,2227 - 2319,₹1.26 Cr - 1.31 Cr,5658/Sq.Ft.,3 Bedroom
Sarjapur,3009,₹3.36 Cr,11166/Sq.Ft.,3 Bedroom
Hennur Road,2432,₹2.6 Cr,10690/Sq.Ft.,4 Bedroom
Bommenahalli,2075,₹1.08 Cr,5199/Sq.Ft.,3 Bedroom
Hulimavu,2180 - 3044,₹1.28 Cr - 1.78 Cr,5850/Sq.Ft.,3 Bedroom
Chikka Tirupathi,850,₹33.01 L,3883/Sq.Ft.,2 Bedroom
Whitefield,1730 - 2113,₹72 L - 87.94 L,4162/Sq.Ft.,3 Bedroom
Attibele,800 - 1270,₹27 L - 42.86 L,3375/Sq.Ft.,2 Bedroom
Whitefield,2330 - 2500,₹93.2 L - 1 Cr,4000/Sq.Ft.,4 Bedroom
Whitefield,1200,₹70 L,5833/Sq.Ft.,3 Bedroom
Sarjapur,2400 - 3296,₹1.1 Cr - 1.51 Cr,4583/Sq.Ft.,4 Bedroom
Attibele,1350 - 3000,₹45.56 L - 1.01 Cr,3375/Sq.Ft.,3 Bedroom
Whitefield,1745 - 2273,₹81.77 L - 1.07 Cr,4686/Sq.Ft.,3 Bedroom
Attibele,1600,₹54 L,3375/Sq.Ft.,4 Bedroom
Sarjapura - Attibele Road,2280 - 2325,₹98.02 L - 1 Cr,4299/Sq.Ft.,5 Bedroom
Whitefield,1000,₹58 L,5800/Sq.Ft.,2 Bedroom
TC Palaya,1200,₹69 L,5750/Sq.Ft.,2 Bedroom
Sarjapur Road,2353 - 2395,₹1.53 Cr - 1.56 Cr,6495/Sq.Ft.,4 Bedroom
